page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR,COUNT OF YEAR,YEARS ACTIVE,APPEARANCES PER YEAR,UNIVERSE
16274,Merlin,\/wiki\/Merlin_(New_Earth),Secret Identity,Neutral Characters,Black Eyes,White Hair,Male Characters,,Living Characters,92,"1936, February",1936,9,78,1.179487179,DC
11333,Franklin Delano Roosevelt,\/wiki\/Franklin_Delano_Roosevelt_(New_Earth),Public Identity,Good Characters,,Grey Hair,Male Characters,,Living Characters,52,"1936, March",1936,9,78,0.666666667,DC
158200,Arthur Pendragon,\/wiki\/Arthur_Pendragon_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,41,"1936, February",1936,9,78,0.525641026,DC
35358,Lancelot,\/wiki\/Lancelot_(New_Earth),Public Identity,Good Characters,,,Male Characters,,Living Characters,18,"1936, February",1936,9,78,0.230769231,DC
277353,Guinevere,\/wiki\/Guinevere_(New_Earth),Public Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,15,"1936, February",1936,9,78,0.192307692,DC
35354,Gawain,\/wiki\/Gawain_(New_Earth),Public Identity,Good Characters,,,Male Characters,,Living Characters,8,"1936, September",1936,9,78,0.102564103,DC
65039,Samuel Bradley,\/wiki\/Samuel_Bradley_(New_Earth),Public Identity,Good Characters,Grey Eyes,Grey Hair,Male Characters,,Living Characters,213,"1937, March",1937,4,77,2.766233766,DC
17834,Cyril Saunders,\/wiki\/Cyril_Saunders_(New_Earth),Public Identity,Good Characters,Hazel Eyes,White Hair,Male Characters,,Living Characters,79,"1937, March",1937,4,77,1.025974026,DC
134362,Rose Psychic,\/wiki\/Rose_Psychic_(New_Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Female Characters,,Deceased Characters,11,"1937, March",1937,4,77,0.142857143,DC
23383,Lois Lane,\/wiki\/Lois_Lane_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,934,"1938, June",1938,10,76,12.28947368,DC
